,Bid Range,Number of Impressions,Number of Clicks,Spent Amount,CTR,CPC,CPM
0,"[1,300]",100859,58,6249986,0.0005750602326019493,107758.37931034483,61967.55867101597
1,"[1,290]",102044,54,6249999,0.0005291834894751284,115740.72222222222,61248.07925992709
2,"[1,280]",103548,51,6249986,0.0004925252057017036,122548.74509803922,60358.3458878974
3,"[1,270]",105289,58,6249943,0.0005508647627007569,107757.63793103448,59359.885648073396
4,"[1,260]",106581,55,6249970,0.0005160394441786059,113635.81818181818,58640.56445332658
5,"[1,250]",108429,51,6249989,0.00047035387211908253,122548.80392156863,57641.30444807201
6,"[1,240]",110157,54,6249919,0.0004902094283613388,115739.24074074074,56736.467042493896
7,"[1,230]",112582,59,6249950,0.0005240624611394362,105931.35593220338,55514.64710166812
8,"[1,220]",114931,58,6249985,0.0005046506164568306,107758.36206896552,54380.3238464818
9,"[1,210]",117409,57,6249981,0.0004854823735829451,109648.78947368421,53232.55457418085
10,"[1,200]",119896,56,6249974,0.00046707146193367583,111606.67857142857,52128.29452191899
11,"[1,190]",122837,69,6249961,0.0005617200029307131,90579.14492753622,50880.117554157136
12,"[1,180]",126029,67,6249993,0.0005316236739163208,93283.4776119403,49591.70508375057
13,"[1,170]",129588,51,6249995,0.0003935549587924808,122548.92156862745,48229.735778004135
14,"[1,160]",133710,60,6249987,0.0004487323311644604,104166.45,46742.853937626205
15,"[6,300]",100917,52,6249970,0.0005152749289019689,120191.73076923077,61931.78552671998
16,"[6,290]",102454,53,6249997,0.0005173053272688231,117924.47169811321,61002.95742479552
17,"[6,280]",103627,57,6249994,0.0005500496974726664,109649.01754385965,60312.40892817509
18,"[6,270]",104874,50,6249958,0.0004767625913000362,124999.16,59594.92343192784
19,"[6,260]",106461,63,6249990,0.000591765998816468,99206.19047619047,58706.85039591963
20,"[6,250]",108533,56,6249950,0.0005159721006514148,111606.25,57585.71125832696
21,"[6,240]",110356,55,6249927,0.0004983870383123708,113635.03636363636,56634.22922179129
22,"[6,230]",112370,56,6249903,0.0004983536531102607,111605.41071428571,55618.96413633532
23,"[6,220]",114728,61,6249966,0.0005316923506031657,102458.45901639345,54476.37891360435
24,"[6,210]",117202,61,6249975,0.0005204689339772359,102458.60655737705,53326.521731711066
25,"[6,200]",119876,56,6250000,0.000467149387700624,111607.14285714286,52137.20844873036
26,"[6,190]",122736,65,6249981,0.0005295919697562247,96153.55384615385,50922.149980445836
27,"[6,180]",126200,59,6250000,0.0004675118858954041,105932.20338983051,49524.56418383518
28,"[6,170]",129441,65,6249997,0.0005021592849251782,96153.8,48284.523450838606
29,"[6,160]",133588,62,6249952,0.00046411354313261673,100805.67741935483,46785.280114980385
30,"[11,300]",101129,56,6249955,0.0005537481830137744,111606.33928571429,61801.80759228313
31,"[11,290]",102204,52,6249976,0.0005087863488708856,120191.84615384616,61151.97056866659
32,"[11,280]",103204,61,6249977,0.0005910623619239565,102458.6393442623,60559.445370334484
33,"[11,270]",105030,56,6249947,0.0005331809959059317,111606.19642857143,59506.30296105875
34,"[11,260]",106416,61,6249979,0.0005732220718688919,102458.67213114754,58731.57231995188
35,"[11,250]",108254,60,6249938,0.0005542520368762356,104165.63333333333,57734.0144475031
36,"[11,240]",110064,64,6249948,0.0005814798662596307,97655.4375,56784.67073702573
37,"[11,230]",112334,55,6249904,0.0004896113376181743,113634.61818181818,55636.79740773052
38,"[11,220]",114569,59,6249990,0.0005149735094135411,105932.03389830509,54552.19125592438
39,"[11,210]",117428,63,6249973,0.0005364989610655039,99205.92063492064,53223.87335218176
40,"[11,200]",119741,64,6249996,0.0005344869342998639,97656.1875,52195.95627228769
41,"[11,190]",122610,63,6249896,0.0005138243210178616,99204.69841269842,50973.78680368648
42,"[11,180]",125841,64,6249953,0.000508578285296525,97655.515625,49665.4746863105
43,"[11,170]",129234,61,6249969,0.00047201200922357894,102458.5081967213,48361.64631598496
44,"[11,160]",133538,68,6250000,0.0005092183498330063,91911.76470588235,46803.15715376897
45,"[16,300]",100749,52,6249987,0.0005161341551777189,120192.05769230769,62035.22615609088
46,"[16,290]",101949,53,6249873,0.0005198677770257678,117922.1320754717,61303.91666421446
47,"[16,280]",103391,58,6249957,0.0005609772610768829,107757.87931034483,60449.71999497055
48,"[16,270]",104995,54,6249957,0.000514310205247869,115739.94444444444,59526.23458259917
49,"[16,260]",106390,46,6249991,0.0004323714634834101,135869.36956521738,58746.038161481345
50,"[16,250]",108061,57,6249914,0.0005274798493443518,109647.61403508772,57836.90693219571
51,"[16,240]",110152,60,6249982,0.0005447018665117292,104166.36666666667,56739.61435107851
52,"[16,230]",112104,55,6249990,0.0004906158567044887,113636.18181818182,55751.71269535431
53,"[16,220]",114261,55,6249985,0.0004813540928225729,113636.09090909091,54699.197451448876
54,"[16,210]",116893,57,6249997,0.00048762543522708803,109649.0701754386,53467.67556654376
55,"[16,200]",119644,62,6249976,0.0005182040052154726,100806.06451612903,52238.1063822674
56,"[16,190]",122476,61,6249989,0.0004980567621411542,102458.83606557376,51030.316143570984
57,"[16,180]",125617,60,6249964,0.0004776423573242475,104166.06666666667,49754.12563586139
58,"[16,170]",128990,65,6249998,0.0005039150321730367,96153.81538461539,48453.35297309869
59,"[16,160]",132869,72,6249984,0.0005418871219020238,86805.33333333333,47038.69224574581
60,"[21,300]",100555,56,6249871,0.000556909154194222,111604.83928571429,62153.75665058923
61,"[21,290]",101882,58,6249935,0.0005692860367876563,107757.5,61344.84010914587
62,"[21,280]",103092,57,6249910,0.0005529042020719358,109647.54385964913,60624.58774686688
63,"[21,270]",104496,60,6249918,0.0005741846577859439,104165.3,59810.11713367019
64,"[21,260]",105913,53,6249974,0.0005004107144543163,117924.03773584905,59010.45197473398
65,"[21,250]",107639,55,6249977,0.0005109672144854561,113635.94545454545,58064.242514330304
66,"[21,240]",109828,52,6249978,0.0004734676038897185,120191.88461538461,56906.96361583567
67,"[21,230]",111571,53,6249928,0.0004750338349571125,117923.16981132075,56017.4955857705
68,"[21,220]",114172,60,6249853,0.0005255228952808044,104164.21666666666,54740.680727323685
69,"[21,210]",116458,57,6249957,0.0004894468392038331,109648.36842105263,53667.0473475416
70,"[21,200]",119221,57,6249962,0.0004781036897861954,109648.45614035087,52423.33146006156
71,"[21,190]",121924,58,6249992,0.00047570617761884455,107758.4827586207,51261.37593910961
72,"[21,180]",125330,59,6249986,0.00047075720098938803,105931.96610169491,49868.23585733663
73,"[21,170]",128465,65,6249989,0.000505974389911649,96153.67692307693,48651.29801891566
74,"[21,160]",132128,59,6249914,0.00044653669169290384,105930.74576271187,47301.96476144345
75,"[26,300]",100049,59,6249934,0.0005897110415896211,105931.08474576271,62468.73032214215
76,"[26,290]",101324,60,6249856,0.0005921598041924914,104164.26666666666,61681.891753187796
77,"[26,280]",102880,56,6249953,0.0005443234836702955,111606.30357142857,60749.93195956454
78,"[26,270]",103969,56,6249978,0.0005386220892766113,111606.75,60113.860862372436
79,"[26,260]",105652,58,6249998,0.0005489720970734108,107758.58620689655,59156.45704766592
80,"[26,250]",107070,52,6249981,0.0004856635845708415,120191.94230769231,58372.84953768562
81,"[26,240]",109200,54,6249959,0.0004945054945054945,115739.98148148147,57234.056776556776
82,"[26,230]",111246,58,6249910,0.0005213670603886881,107757.06896551725,56180.98628265286
83,"[26,220]",113404,60,6249962,0.0005290818666008253,104166.03333333334,55112.35935240379
